
:================================
|            benchmark: deepglobe               
|             datapath: D:\\CDFSSDataSet\\Target domains
|                nshot: 5                       
|             adapt_to: first-episode           
|       postprocessing: dynamic                 
|              logpath: ./logs                  
|            verbosity: 0                       
|             backbone: resnet50                
|              nworker: 0                       
|                  bsz: 1                       
|                 fold: 0                       
[Epoch: 00] [Batch: 2351/12533] L: 0.00000  Avg L: 0.00000  mIoU: 50.81  |  FB-IoU: 54.74
[Epoch: 00] [Batch: 2401/12533] L: 0.00000  Avg L: 0.00000  mIoU: 50.84  |  FB-IoU: 54.70
[Epoch: 00] [Batch: 2451/12533] L: 0.00000  Avg L: 0.00000  mIoU: 50.96  |  FB-IoU: 54.81
[Epoch: 00] [Batch: 2501/12533] L: 0.00000  Avg L: 0.00000  mIoU: 50.92  |  FB-IoU: 54.79
[Epoch: 00] [Batch: 2551/12533] L: 0.00000  Avg L: 0.00000  mIoU: 50.95  |  FB-IoU: 54.77
[Epoch: 00] [Batch: 2601/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.03  |  FB-IoU: 54.84
[Epoch: 00] [Batch: 2651/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.10  |  FB-IoU: 54.88
[Epoch: 00] [Batch: 2701/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.06  |  FB-IoU: 54.83
[Epoch: 00] [Batch: 2751/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.01  |  FB-IoU: 54.75
[Epoch: 00] [Batch: 2801/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.05  |  FB-IoU: 54.78
[Epoch: 00] [Batch: 2851/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.16  |  FB-IoU: 54.81
[Epoch: 00] [Batch: 2901/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.20  |  FB-IoU: 54.84
[Epoch: 00] [Batch: 2951/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.14  |  FB-IoU: 54.81
[Epoch: 00] [Batch: 3001/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.06  |  FB-IoU: 54.75
[Epoch: 00] [Batch: 3051/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.11  |  FB-IoU: 54.79
[Epoch: 00] [Batch: 3101/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.06  |  FB-IoU: 54.77
[Epoch: 00] [Batch: 3151/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.09  |  FB-IoU: 54.82
[Epoch: 00] [Batch: 3201/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.10  |  FB-IoU: 54.86
[Epoch: 00] [Batch: 3251/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.11  |  FB-IoU: 54.88
[Epoch: 00] [Batch: 3301/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.04  |  FB-IoU: 54.84
[Epoch: 00] [Batch: 3351/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.10  |  FB-IoU: 54.89
[Epoch: 00] [Batch: 3401/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.04  |  FB-IoU: 54.82
[Epoch: 00] [Batch: 3451/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.04  |  FB-IoU: 54.80
[Epoch: 00] [Batch: 3501/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.06  |  FB-IoU: 54.82
[Epoch: 00] [Batch: 3551/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.05  |  FB-IoU: 54.81
[Epoch: 00] [Batch: 3601/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.12  |  FB-IoU: 54.84
[Epoch: 00] [Batch: 3651/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.12  |  FB-IoU: 54.87
[Epoch: 00] [Batch: 3701/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.17  |  FB-IoU: 54.89
[Epoch: 00] [Batch: 3751/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.25  |  FB-IoU: 54.97
[Epoch: 00] [Batch: 3801/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.23  |  FB-IoU: 54.94
[Epoch: 00] [Batch: 3851/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.24  |  FB-IoU: 54.95
[Epoch: 00] [Batch: 3901/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.27  |  FB-IoU: 54.98
[Epoch: 00] [Batch: 3951/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.28  |  FB-IoU: 54.96
[Epoch: 00] [Batch: 4001/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.31  |  FB-IoU: 54.97
[Epoch: 00] [Batch: 4051/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.29  |  FB-IoU: 54.96
[Epoch: 00] [Batch: 4101/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.31  |  FB-IoU: 54.96
[Epoch: 00] [Batch: 4151/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.31  |  FB-IoU: 54.94
[Epoch: 00] [Batch: 4201/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.32  |  FB-IoU: 54.98
[Epoch: 00] [Batch: 4251/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.26  |  FB-IoU: 54.95
[Epoch: 00] [Batch: 4301/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.24  |  FB-IoU: 54.92
[Epoch: 00] [Batch: 4351/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.24  |  FB-IoU: 54.93
[Epoch: 00] [Batch: 4401/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.16  |  FB-IoU: 54.90
[Epoch: 00] [Batch: 4451/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.15  |  FB-IoU: 54.91
[Epoch: 00] [Batch: 4501/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.11  |  FB-IoU: 54.89
[Epoch: 00] [Batch: 4551/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.12  |  FB-IoU: 54.93
[Epoch: 00] [Batch: 4601/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.14  |  FB-IoU: 54.96
[Epoch: 00] [Batch: 4651/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.17  |  FB-IoU: 55.00
[Epoch: 00] [Batch: 4701/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.23  |  FB-IoU: 55.05
[Epoch: 00] [Batch: 4751/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.22  |  FB-IoU: 55.04
[Epoch: 00] [Batch: 4801/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.22  |  FB-IoU: 55.07
[Epoch: 00] [Batch: 4851/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.19  |  FB-IoU: 55.02
[Epoch: 00] [Batch: 4901/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.24  |  FB-IoU: 55.06
[Epoch: 00] [Batch: 4951/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.21  |  FB-IoU: 55.05
[Epoch: 00] [Batch: 5001/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.15  |  FB-IoU: 55.00
[Epoch: 00] [Batch: 5051/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.15  |  FB-IoU: 55.00
[Epoch: 00] [Batch: 5101/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.18  |  FB-IoU: 55.01
[Epoch: 00] [Batch: 5151/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.14  |  FB-IoU: 54.97
[Epoch: 00] [Batch: 5201/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.11  |  FB-IoU: 54.95
[Epoch: 00] [Batch: 5251/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.15  |  FB-IoU: 54.98
[Epoch: 00] [Batch: 5301/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.20  |  FB-IoU: 55.01
[Epoch: 00] [Batch: 5351/12533] L: 0.00000  Avg L: 0.00000  mIoU: 51.19  |  FB-IoU: 55.02
